name,year,certifi,time,Genre,Vote,Metascore,Rating
Zack Snyder's Justice League,(2021),R,242 min,"Action, Adventure, Fantasy","306,097",54        ,8.1
Aspirants,(2021– ),No data,45 min,Drama,"271,832",No data,9.0
WandaVision,(2021),TV-PG,350 min,"Action, Comedy, Drama","185,388",No data,8.1
Radhe,(2021),TV-MA,135 min,"Action, Crime, Thriller","163,419",No data,1.8
Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller","145,457",59        ,6.4
Army of the Dead,(2021),R,148 min,"Action, Crime, Horror","121,308",57        ,5.8
The Falcon and the Winter Soldier,(2021),TV-14,50 min,"Action, Adventure, Drama","117,818",No data,7.4
Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy","117,024",44        ,6.2
Nobody,(I) (2021),R,92 min,"Action, Crime, Drama","109,185",64        ,7.4
Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure","85,219",75        ,7.4
Cruella,(2021),PG-13,134 min,"Comedy, Crime","76,352",59        ,7.4
Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama","74,412",No data,7.5
Invincible,(2021– ),TV-MA,364 min,"Animation, Action, Adventure","68,711",No data,8.8
Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller","64,136",57        ,7.2
The Little Things,(2021),R,128 min,"Crime, Drama, Thriller","63,661",54        ,6.3
The Mitchells vs the Machines,(2021),PG,113 min,"Animation, Adventure, Comedy","61,844",80        ,7.7
Mare of Easttown,(2021),TV-MA,410 min,"Crime, Drama, Mystery","61,717",No data,8.5
Master,(2021),Not Rated,179 min,"Action, Thriller","60,148",No data,7.9
Coming 2 America,(2021),PG-13,110 min,Comedy,"58,369",52        ,5.3
The Dig,(2021),PG-13,112 min,"Biography, Drama, History","57,956",73        ,7.1
Tandav,(2021– ),TV-14,30 min,"Drama, Thriller","55,374",No data,3.7
Shadow and Bone,(2021– ),TV-14,No data,"Action, Adventure, Drama","55,191",No data,7.8
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","54,305",No data,9.9
The Conjuring: The Devil Made Me Do It,(2021),R,112 min,"Horror, Mystery, Thriller","53,896",53        ,6.4
Judas and the Black Messiah,(2021),R,126 min,"Biography, Drama, History","51,649",85        ,7.5
The Woman in the Window,(2021),R,100 min,"Crime, Drama, Mystery","51,586",41        ,5.7
The White Tiger,(2021),R,125 min,"Crime, Drama","50,394",76        ,7.1
Loki,(2021– ),TV-14,No data,"Action, Adventure, Fantasy","47,312",No data,8.9
The One Where They Get Back Together,(2021 TV Special),TV-14,104 min,"Comedy, Romance","45,521",No data,8.1
Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller","45,289",No data,7.2
Tom Clancy's Without Remorse,(2021),R,109 min,"Action, Thriller, War","42,191",41        ,5.8
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","39,825",No data,9.9
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","38,142",No data,9.9
Outside the Wire,(2021),R,114 min,"Action, Adventure, Fantasy","36,338",45        ,5.4
Stowaway,(2021),TV-MA,116 min,"Drama, Sci-Fi, Thriller","34,840",63        ,5.6
Luca,(2021),PG,95 min,"Animation, Adventure, Comedy","34,618",71        ,7.6
Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy","34,285",34        ,4.4
Those Who Wish Me Dead,(2021),R,100 min,"Action, Drama, Thriller","33,811",59        ,6.0
Ginny & Georgia,(2021– ),TV-14,No data,"Comedy, Drama","33,549",No data,7.5
Boss Level,(2021),TV-MA,94 min,"Action, Mystery, Sci-Fi","32,313",56        ,6.9
The Serpent,(2021),TV-MA,458 min,"Crime, Drama, Thriller","31,181",No data,7.7
Jupiter's Legacy,(2021),TV-MA,56 min,"Action, Adventure, Drama","29,663",No data,6.8
Fate: The Winx Saga,(2021– ),TV-MA,No data,"Action, Adventure, Drama","29,577",No data,6.9
Malcolm & Marie,(2021),R,106 min,"Drama, Romance","29,225",53        ,6.7
The Mauritanian,(2021),R,129 min,"Drama, Thriller","28,457",53        ,7.4
Drishyam 2,(2021),No data,152 min,"Crime, Drama, Thriller","27,536",No data,8.7
Palmer,(2021),R,110 min,Drama,"25,754",53        ,7.3
Sweet Tooth,(2021– ),TV-14,No data,"Action, Adventure, Drama","24,910",No data,8.0
Tom and Jerry,(2021),PG,101 min,"Animation, Comedy, Family","24,884",32        ,5.3
Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi","24,743",67        ,6.5
Spiral,(2021),R,93 min,"Crime, Horror, Mystery","23,982",40        ,5.3
Seaspiracy,(2021),TV-MA,89 min,"Documentary, Adventure","23,913",No data,8.2
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","23,728",No data,9.6
Racket Boys,(2021– ),No data,80 min,"Comedy, Drama, Sport","23,433",No data,1.0
Cherry,(2021),R,142 min,"Crime, Drama","22,994",44        ,6.6
Inside,(2021 TV Special),TV-MA,87 min,"Comedy, Drama, Music","22,288",No data,8.8
Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery","22,202",49        ,5.3
Resident Alien,(2021– ),TV-14,44 min,"Comedy, Drama, Mystery","21,638",No data,8.2
It's a Sin,(2021),TV-MA,239 min,"Comedy, Drama, History","21,634",No data,8.7
Redemption Day,(2021),R,99 min,"Action, Drama, Thriller","21,398",22        ,6.5
 WandaVision,(2021),TV-PG,30 min,"Action, Comedy, Drama","21,392",No data,7.5
Anne Boleyn,(2021– ),No data,No data,Drama,"21,231",No data,6.9
 WandaVision,(2021),TV-PG,35 min,"Action, Comedy, Drama","20,331",No data,8.9
 WandaVision,(2021),TV-PG,37 min,"Action, Comedy, Drama","20,240",No data,7.8
In the Heights,(2021),PG-13,143 min,"Drama, Music, Musical","20,044",84        ,7.6
 WandaVision,(2021),TV-14,42 min,"Action, Comedy, Drama","19,973",No data,9.1
Space Sweepers,(2021),TV-MA,136 min,"Action, Adventure, Drama","19,697",64        ,6.6
Moxie,(2021),PG-13,111 min,"Comedy, Drama, Music","19,542",54        ,6.7
Night Stalker: The Hunt for a Serial Killer,(2021),TV-MA,189 min,"Documentary, Crime, Mystery","19,330",No data,7.5
Bad Trip,(2021),R,86 min,Comedy,"19,003",61        ,6.6
 WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama","18,655",No data,8.2
To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance","18,057",65        ,6.3
Yes Day,(2021),PG,86 min,"Comedy, Family","18,051",46        ,5.7
 WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama","17,876",No data,9.0
 Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy","17,806",No data,8.8
 WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama","17,759",No data,8.4
The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery","17,497",No data,7.9
